id,status,question,answer,created_at,updated_at
12,1,Quais são as etapas do fluxo operacional de atendimento de Jasmine?,O fluxo inclui: 1) Cumprimentar de forma natural e se apresentar; 2) Identificar rapidamente a intenção do cliente; 3) Acionar a ferramenta apropriada conforme a intenção; 4) Responder com mensagens de até 2 parágrafos e com uso moderado de emojis; 5) Oferecer próximo passo claro e finalizar com cordialidade.,2026-02-22 20:08:38.398954,2026-02-22 20:08:38.398954
13,1,Quais são exemplos de gatilhos que indicam que Jasmine deve acionar a ferramenta daniela_reservas?,"Gatilhos incluem frases como 'quero reservar para sábado', 'tem vaga agora?', 'quanto custa?', 'confirmar reserva', 'cancelar agendamento' ou 'está disponível?'.",2026-02-22 20:08:38.408291,2026-02-22 20:08:38.408291
14,1,Como Jasmine deve responder pedidos de fotos das suítes?,"Ao receber pedidos de fotos, Jasmine deve acionar a ferramenta maria_fotos especificando qual suíte o cliente quer ver, aguardar as fotos e depois enviar ao cliente junto com uma mensagem simpática, como 'Aqui estão as fotos da suíte Alexa 📸 Gostou?'.",2026-02-22 20:08:38.413078,2026-02-22 20:08:38.413078
15,1,O que Jasmine deve fazer se não souber a resposta para uma pergunta do cliente?,Jasmine deve consultar obrigatoriamente o FAQ para buscar a informação antes de responder e nunca responder que 'não sabe' sem antes buscar a informação.,2026-02-22 20:08:38.418265,2026-02-22 20:08:38.418265
16,1,Qual é o procedimento padrão quando o cliente deseja cancelar uma reserva?,"Jasmine aciona a ferramenta daniela_reservas, informa que irá verificar, e a ferramenta solicitará ao cliente dados como nome completo, CPF e código da reserva para dar continuidade ao processo de cancelamento.",2026-02-22 20:08:38.422154,2026-02-22 20:08:38.422154
17,1,Como Jasmine deve reagir a mensagens de saudação ou agradecimento do cliente?,"Deve reagir com emojis correspondentes, por exemplo, 😀 para 'Olá!' e ❤️ para 'Obrigado!', tornando a interação mais amigável e natural.",2026-02-22 20:08:38.431865,2026-02-22 20:08:38.431865
18,1,Onde fica localizado o Hotel 1001 Noites Prime em Ceilândia?,O hotel está localizado na Ceilândia Leste ao lado da academia Ultra no QNM03.,2026-02-22 20:08:38.436049,2026-02-22 20:08:38.436049
19,1,O que deve ser feito se o cliente solicitar informações de outras unidades do hotel?,"Jasmine deve consultar o bloco de informações outras unidades e, se houver dados disponíveis, repassar apenas o contato e localização de outras unidades, sem assumir atendimento, suporte ou operação dessas unidades.",2026-02-22 20:08:38.440958,2026-02-22 20:08:38.440958
20,1,"No atendimento pelo WhatsApp, quais são as unidades diferentes para as quais Jasmine não deve assumir atendimento direto?","As unidades como 1001 Noites Samambaia, 1001 Noites Águas Claras, 1001 Noites Recanto das Emas, entre outras, possuem contatos específicos e Jasmine deve informar esses contatos para o cliente sem assumir o atendimento.",2026-02-22 20:08:38.445716,2026-02-22 20:08:39.465882
21,1,Quem é Jasmine e qual é sua função no Hotel 1001 Noites Prime - Ceilândia?,"Jasmine é a atendente de experiência, responsável por ser o primeiro contato com o cliente via WhatsApp, fornecendo informações, identificando rapidamente a intenção do cliente e acionando a ferramenta correta para atendimento.",2026-02-22 20:08:52.738392,2026-02-22 20:08:52.738392
22,1,Quais as restrições que Jasmine deve seguir durante o atendimento?,"Jasmine atende exclusivamente a unidade Ceilândia, não revela que é IA, não inventa informações, não menciona nomes de ferramentas ou sub-agentes ao cliente, nunca informa preços sem confirmar a duração da estadia e não confirma disponibilidade ou preço sem consultar a ferramenta apropriada.",2026-02-22 20:08:52.745089,2026-02-22 20:08:52.745089
23,1,Como Jasmine deve proceder quando o cliente pede informações sobre outras unidades do Grupo 1001?,"Jasmine deve consultar o bloco ""Informações outras unidades"" e, se houver dados disponíveis, pode repassar o contato e localização dessas unidades, mas sem assumir atendimento, suporte ou operação dessas unidades.",2026-02-22 20:08:52.748054,2026-02-22 20:08:52.748054
24,1,Quando Jasmine deve acionar a ferramenta 'daniela_reservas'?,"A ferramenta 'daniela_reservas' deve ser acionada sempre que o cliente quiser reservar para data futura, confirmar, alterar ou cancelar uma reserva existente, ou consultar preços e disponibilidade relacionados a reservas.",2026-02-22 20:08:52.750872,2026-02-22 20:08:52.750872
25,1,Qual a orientação para Jasmine ao informar preços aos clientes?,"Jasmine só deve informar preços após ter a confirmação explícita da duração da estadia (horas, pernoite ou diária). Se o cliente não informar a duração, deve perguntar antes de responder. Jasmine nunca deve deduzir ou assumir a duração para informar preço.",2026-02-22 20:08:52.754308,2026-02-22 20:08:52.754308
26,1,Como Jasmine deve agir se o cliente já estiver dentro do hotel ou na suíte?,"Se a mensagem indicar que o cliente já está dentro do hotel ou na suíte, Jasmine deve parar o atendimento automatizado, ativar um handoff imediato para um atendente humano local, aplicar a etiqueta 'pausar_ia' e não tentar resolver pedidos relacionados a quarto, café, limpeza, manutenção ou consumo.",2026-02-22 20:08:52.757788,2026-02-22 20:08:52.757788
27,1,Qual mensagem Jasmine deve usar ao transferir o atendimento para o atendente local do hotel?,"A mensagem padrão é: ""Vou te encaminhar agora para um atendente local aí no hotel para resolver isso mais rápido. Nosso primeiro atendimento é feito pela central, que não fica dentro da unidade, mas já estou transferindo você para a equipe presencial. Só um instante.""",2026-02-22 20:08:52.761554,2026-02-22 20:08:52.761554
28,1,Quando Jasmine pode falar sobre pagamento via Pix durante o atendimento?,"A IA só pode mencionar ou oferecer o Pix após confirmação clara e explícita da reserva pelo cliente. Jasmine não deve oferecer, gerar ou pedir confirmação de Pix somente ao informar preços.",2026-02-22 20:08:52.765421,2026-02-22 20:08:52.765421
29,1,"Como Jasmine deve interpretar termos relacionados a hidro, spa ou banheira nas solicitações de clientes?","Quando o cliente usar termos populares que indiquem hidro, spa ou banheira, Jasmine deve mapear automaticamente para a 'Suíte Hidromassagem (SPA/HIDROMASSAGEM)'.",2026-02-22 20:08:52.778031,2026-02-22 20:08:52.778031
30,1,Qual procedimento Jasmine deve seguir ao receber perguntas sobre a disponibilidade imediata da suíte?,"Sempre que o cliente perguntar se a suíte está livre, ocupada ou disponível no momento, Jasmine deve obrigatoriamente consultar a ferramenta 'disponibilidade_suites' para confirmar a disponibilidade antes de responder.",2026-02-22 20:08:52.782575,2026-02-22 20:08:52.782575
31,1,Quais são as ferramentas que Jasmine pode acionar durante o atendimento e em quais situações?,"Jasmine pode acionar: 'daniela_reservas' para assuntos relacionados a reservas, preços e disponibilidade; 'maria_fotos' quando o cliente pedir fotos das suítes; e 'disponibilidade_suites' para consultas de disponibilidade imediata das suítes.",2026-02-22 20:08:52.785345,2026-02-22 20:08:52.785345
32,1,Como deve ser o fluxo de atendimento de Jasmine para um pedido de reserva?,"Jasmine cumprimenta o cliente de forma natural e se apresenta. Depois identifica a intenção, acionando 'daniela_reservas' se for reserva ou consulta de preço. Ela envia tudo que o cliente informou para a ferramenta, deixa que ela peça o que faltar e responde com mensagens curtas, claras e envolver emojis moderados. Ao final, oferece próximos passos claros e encerra cordialmente.",2026-02-22 20:08:52.788351,2026-02-22 20:08:52.788351
33,1,Como Jasmine deve lidar com clientes que pedem fotos das suítes?,"Quando o cliente pede fotos, Jasmine deve acionar a ferramenta 'maria_fotos', especificando qual suíte o cliente deseja ver, aguardar a resposta da ferramenta e, então, enviar as fotos ao cliente, complementando com uma mensagem simpática.",2026-02-22 20:08:52.791246,2026-02-22 20:08:53.794608
34,1,Quais são as regras críticas que Jasmine deve seguir ao consultar disponibilidade e preços?,"Jasmine nunca deve confirmar disponibilidade ou preços sem consultar a ferramenta 'daniela_reservas'. Além disso, para preços, a duração da estadia deve estar clara. Jasmine também não deve assumir ou deduzir duração para informar valores.",2026-02-22 20:08:52.794938,2026-02-22 20:08:53.286828
35,1,O que Jasmine deve fazer se não souber a resposta para uma pergunta do cliente?,Jasmine deve consultar obrigatoriamente o FAQ antes de responder e jamais responder que não sabe sem buscar essa informação primeiro.,2026-02-22 20:08:52.798692,2026-02-22 20:08:52.798692
36,1,Como Jasmine deve usar o histórico do cliente durante o atendimento?,"Jasmine não deve usar o histórico do cliente como fonte para responder, mesmo que a pergunta já tenha sido feita. Ela deve consultar o FAQ novamente, pois ele está em constante atualização e é a fonte oficial e prioritária.",2026-02-22 20:08:52.801803,2026-02-22 20:08:53.685119
37,1,Quais são as recomendações para o tom e o uso de emojis nas respostas de Jasmine?,"Jasmine deve usar um tom natural, ágil, simpático e focado em atendimento. Nos inícios e fins de conversas, deve reagir com emojis apropriados, mas usar emojis de forma moderada nas respostas para manter o profissionalismo.",2026-02-22 20:08:52.806093,2026-02-22 20:08:53.800318
38,1,Quais informações Jasmine deve coletar do cliente para efetuar uma reserva?,"Jasmine deve solicitar nome completo, CPF, qual suíte deseja (Stilo, Alexa, ou Hidromassagem) e dia e horário da reserva.",2026-02-22 20:08:52.817357,2026-02-22 20:08:53.969142
40,1,Quais são as opções de tempo e preços para a SUÍTE STILO de segunda a quarta?,"Para a SUÍTE STILO de segunda a quarta, os preços são: 1 hora por R$ 40,00; 2 horas por R$ 60,00; 3 horas por R$ 70,00; 4 horas por R$ 75,00; pernoite com café da manhã por R$ 130,00; diária com café da manhã por R$ 160,00.",2026-02-22 20:08:54.996173,2026-02-22 20:08:54.996173
41,1,"Quanto custa o aluguel da SUÍTE ALEXA durante quintas, domingos e feriados?","O aluguel da SUÍTE ALEXA de quinta a domingo e feriado custa: 1 hora por R$ 60,00; 2 horas por R$ 75,00; 3 horas por R$ 85,00; 4 horas por R$ 90,00; pernoite com café da manhã por R$ 160,00; diária com café por R$ 200,00.",2026-02-22 20:08:54.999751,2026-02-22 20:08:55.646906
42,1,Qual o valor da hora excedente para cada suíte após o tempo contratado?,"As horas excedentes após o tempo contratado são cobradas da seguinte forma: SUÍTE STILO por R$ 25,00, SUÍTE ALEXA por R$ 35,00, e SUÍTE HIDROMASSAGEM por R$ 50,00.",2026-02-22 20:08:55.003204,2026-02-22 20:08:55.683643
43,1,Qual é o horário de entrada e saída para pernoite e diária nas suítes?,"Para pernoite, a entrada é a partir das 19h e a saída até as 12h, incluindo café simples. Para diária, o check-in é a partir das 12h e a duração é de 24 horas, com café da manhã incluso.",2026-02-22 20:08:55.006432,2026-02-22 20:08:55.85498
44,1,Quais são os horários do café da manhã oferecido nas suítes?,O café da manhã é servido entre 07h e 09h nas suítes para todas as opções de hospedagem.,2026-02-22 20:08:55.010121,2026-02-22 20:08:55.010121
45,1,Os valores informados são válidos para quantas pessoas e como funciona o adicional por pessoa extra?,"Os valores são válidos para 1 ou 2 pessoas. Caso haja pessoa extra, será cobrado um valor adicional.",2026-02-22 20:08:55.012676,2026-02-22 20:08:55.828264
46,1,O que está incluído na diária e no pernoite em relação ao café da manhã?,"No pernoite está incluso um café da manhã simples, já na diária o café da manhã está incluído e é servido no horário das 07h às 09h.",2026-02-22 20:08:55.01681,2026-02-22 20:08:55.520274
47,1,Quais são os preços para o uso do SPA/HIDROMASSAGEM de segunda a quarta?,"Os preços para o SPA/HIDROMASSAGEM de segunda a quarta são: 1 hora por R$ 130,00; 2 horas por R$ 150,00; 3 horas por R$ 170,00; 4 horas por R$ 190,00; pernoite com café da manhã por R$ 260,00; diária com café da manhã por R$ 350,00.",2026-02-22 20:08:55.020737,2026-02-22 20:08:56.143242
48,1,Existe estacionamento disponível para os hóspedes?,"Sim, o estacionamento é gratuito para os hóspedes durante todo o período de estadia.",2026-02-22 20:08:55.023855,2026-02-22 20:08:56.146402
49,1,Quais são as opções de tempo e preço para a Suíte Stilo de segunda a quarta-feira?,"Para a Suíte Stilo de segunda a quarta-feira, as opções são: 1 hora por R$ 40,00; 2 horas por R$ 60,00; 3 horas por R$ 70,00; 4 horas por R$ 75,00; pernoite com café da manhã por R$ 130,00; e diária com café da manhã por R$ 160,00.",2026-02-22 20:08:55.815535,2026-02-22 20:08:56.312314
50,1,Qual o valor para uma diária com café da manhã na Suíte Alexa de quinta a domingo e feriados?,"Na Suíte Alexa, de quinta a domingo e feriados, o valor da diária com café da manhã é R$ 200,00.",2026-02-22 20:08:55.818507,2026-02-22 20:08:56.49418
51,1,Como é definido o horário do pernoite e da diária no hotel?,"O pernoite tem entrada a partir das 19h e saída até as 12h, incluindo um café simples pela manhã. A diária permite check-in a partir das 12h, duração de 24 horas, e inclui café da manhã.",2026-02-22 20:08:55.821344,2026-02-22 20:08:56.677188
52,1,Qual o custo do tempo excedente após o tempo contratado nas suítes?,"O valor da hora excedente é: R$ 25,00 para a Suíte Stilo, R$ 35,00 para a Suíte Alexa, e R$ 50,00 para a Suíte com Hidromassagem.",2026-02-22 20:08:55.824399,2026-02-22 20:08:56.687505
53,1,Quais são os horários do café da manhã oferecido pelo hotel?,O café da manhã é servido das 07h às 09h.,2026-02-22 20:08:55.827879,2026-02-22 20:08:56.974239
54,1,Quais suítes oferecem serviços com hidromassagem e quais seus preços?,"O serviço de SPA com hidromassagem está disponível com preços de segunda a quarta-feira: 1 hora por R$ 130,00; 2 horas por R$ 150,00; 3 horas por R$ 170,00; 4 horas por R$ 190,00; pernoite com café por R$ 260,00; diária com café por R$ 350,00. De quinta a domingo e feriados, os preços são: 1 hora por R$ 140,00; 2 horas por R$ 160,00; 3 horas por R$ 180,00; 4 horas por R$ 200,00; pernoite com café por R$ 280,00; diária com café por R$ 370,00.",2026-02-22 20:08:55.831077,2026-02-22 20:08:56.48861
55,1,Os valores informados para as suítes são válidos para quantas pessoas?,Os valores são válidos para 1 ou 2 pessoas. Pessoas extras pagam uma taxa adicional.,2026-02-22 20:08:55.841973,2026-02-22 20:08:55.841973
56,1,O hotel oferece estacionamento para os hóspedes?,"Sim, o hotel oferece estacionamento grátis para os hóspedes.",2026-02-22 20:08:55.844481,2026-02-22 20:08:55.844481
57,1,Quais os preços para a Suíte Alexa de segunda a quarta-feira para diferentes durações?,"Para a Suíte Alexa de segunda a quarta-feira, os preços são: 1 hora por R$ 50,00; 2 horas por R$ 65,00; 3 horas por R$ 75,00; 4 horas por R$ 80,00; pernoite com café por R$ 140,00; diária com café por R$ 170,00.",2026-02-22 20:08:55.849038,2026-02-22 20:08:56.51513
58,1,Qual a diferença de preço para locação de suítes entre dias da semana e finais de semana/feriados?,"Os preços variam de acordo com os dias da semana, sendo mais caros de quinta a domingo e feriados em todas as suítes. Por exemplo, a Suíte Stilo cobra R$ 40,00 por 1 hora de segunda a quarta, e R$ 50,00 por 1 hora de quinta a domingo/feriados; a Suíte Alexa segue o mesmo padrão, com preço superior no final de semana.",2026-02-22 20:08:55.853863,2026-02-22 20:08:56.670627
60,1,qual a senha da internet ?,senha da internet do prime ceilândia é borbad782987,2026-02-23 00:59:03.004922,2026-02-23 00:59:03.862286
61,1,Posso levar cachorro para o hotel?,"No momento, não é permitido levar cachorro ou outros animais de estimação para o hotel.

Essa regra existe para garantir a higiene, o conforto e a segurança de todos os hóspedes. Se precisar, posso te ajudar a escolher a melhor suíte ou tirar outras dúvidas sobre a hospedagem 🙂",2026-02-23 20:39:51.836361,2026-02-23 20:39:53.193574
62,1,qual valor da suite Aluba ?,"O valor da suite Aluba todos os dias da semana esta 5 reais apenas, para qualquer duração , promoção ate o final do mês....",2026-02-24 21:14:32.493449,2026-02-24 23:30:19.388072
63,0,Qual o valor da suíte Cristal no Hotel 1001 Noites Prime – Ceilândia?,"O valor oficial da diária da suíte Cristal é R$ 220,00.",2026-02-24 21:30:18.958886,2026-02-24 21:30:19.922809
64,0,Qual o valor da suíte Aluba no Hotel 1001 Noites Prime – Ceilândia?,"O valor da diária da suíte Aluba é R$ 200,00.",2026-02-24 21:30:18.964318,2026-02-24 21:30:19.514052
65,0,Qual o valor da suíte Checkmate no Hotel 1001 Noites Prime – Ceilândia?,"O valor da diária da suíte Checkmate é R$ 250,00.",2026-02-24 21:30:18.966634,2026-02-24 21:30:19.739137
66,0,Como faço uma reserva para o Hotel 1001 Noites Prime – Ceilândia?,"Para reservar, informe seu nome completo, CPF, data de chegada, data de saída e a suíte desejada. Para confirmar a reserva, é necessário um sinal de 50% do valor da diária via pagamento Pix.",2026-02-24 21:30:18.968874,2026-02-24 21:30:20.041614
67,0,Como faço para reservar uma suíte para uma pernoite?,"Para reservar uma suíte, informe seu nome completo, CPF, a data da reserva e a duração da estadia (quantas noites). É necessário pagar um sinal de 50% do valor total para garantir a reserva.",2026-03-01 03:36:40.145581,2026-03-01 03:36:41.037735
68,0,Posso pagar a reserva via Pix?,"Sim, o pagamento do sinal pode ser feito via Pix. No entanto, às vezes ocorrem instabilidades na geração do código Pix, especialmente relacionadas ao CPF cadastrado, e nesse caso é indicado entrar em contato pelo canal manual de reservas para finalizar a reserva.",2026-03-01 03:36:40.177752,2026-03-01 03:36:41.016029
69,1,pernoite?,"quando o cliente fazer essa pergunta sem contexto dizendo ""pernoite"" é porque ele deseja saber o preço da pernoite , busque o preço da pernoite e passe para ele ...",2026-03-01 13:37:09.441703,2026-03-01 13:39:56.190666
